"","Country","Lat","Long","date","val"
"300","US",37.2519,-119.6963,2020-01-22,0
"301","US",47.0676,-122.1295,2020-01-22,0
"302","US",36.1593,-95.941,2020-01-22,0
"303","US",39.2587,-104.9389,2020-01-22,0
"304","US",41.8882,-71.4774,2020-01-22,0
"305","US",35.7211,-79.1781,2020-01-22,0
"306","US",39.9078,-75.3879,2020-01-22,0
"307","US",41.3148,-96.1951,2020-01-22,0
"308","US",38.0606,-84.4803,2020-01-22,0
"309","US",39.8362,-86.1752,2020-01-22,0
"310","US",42.4672,-71.2874,2020-01-22,0
"311","US",40.6546,-73.5594,2020-01-22,0
"312","US",44.9964,-93.0616,2020-01-22,0
"313","US",40.5608,-119.6035,2020-01-22,0
"314","US",41.6739,-75.2479,2020-01-22,0
"315","US",38.7646,-121.9018,2020-01-22,0
"316","US",37.3541,-121.9552,2020-01-22,0
"317","US",36.0796,-115.094,2020-01-22,0
"318","US",29.5693,-95.8143,2020-01-22,0
"319","US",47.1981,-119.3732,2020-01-22,0
"320","US",30.769,-86.9824,2020-01-22,0
"321","US",35.9179,-86.8622,2020-01-22,0
"322","US",40.7128,-74.006,2020-01-22,0
"323","US",39.1547,-77.2405,2020-01-22,0
"324","US",42.3601,-71.0589,2020-01-22,0
"325","US",39.7392,-104.9903,2020-01-22,0
"326","US",39.5912,-106.064,2020-01-22,0
"327","US",40.9263,-74.077,2020-01-22,0
"328","US",29.7752,-95.3103,2020-01-22,0
"329","US",37.7749,-122.4194,2020-01-22,0
"330","US",37.8534,-121.9018,2020-01-22,0
"331","US",33.7879,-117.8531,2020-01-22,0
"332","US",42.1767,-71.1449,2020-01-22,0
"333","US",33.2918,-112.4291,2020-01-22,0
"334","US",35.8032,-78.5661,2020-01-22,0
"335","US",41.122,-73.7949,2020-01-22,0
"336","US",43.9088,-71.826,2020-01-22,0
"337","US",27.9904,-82.3018,2020-01-22,0
"338","US",39.0916,-120.8039,2020-01-22,0
"339","US",37.563,-122.3255,2020-01-22,0
"340","US",38.578,-122.9888,2020-01-22,0
"341","US",45.775,-118.7606,2020-01-22,0
"342","US",33.8034,-84.3963,2020-01-22,0
"343","US",45.547,-123.1386,2020-01-22,0
"344","US",48.033,-121.8339,2020-01-22,0
"345","US",40.745,-123.8695,2020-01-22,0
"346","US",38.4747,-121.3542,2020-01-22,0
"347","US",32.7157,-117.1611,2020-01-22,0
"348","US",36.5761,-120.9876,2020-01-22,0
"349","US",34.0522,-118.2437,2020-01-22,0
"350","US",47.6062,-122.3321,2020-01-22,1
"351","US",41.7377,-87.6976,2020-01-22,0
"352","US",48.4242,-121.7114,2020-01-22,0
"353","US",46.8646,-122.7696,2020-01-22,0
"354","US",48.1976,-122.5795,2020-01-22,0
"355","US",48.8787,-121.9719,2020-01-22,0
"356","US",38.0834,-122.7633,2020-01-22,0
"357","US",38.196,-120.6805,2020-01-22,0
"358","US",37.5091,-120.9876,2020-01-22,0
"359","US",36.6066,-120.189,2020-01-22,0
"360","US",42.632,-70.7829,2020-01-22,0
"361","US",30.7917,-82.0843,2020-01-22,0
"362","US",26.07,-81.4279,2020-01-22,0
"363","US",27.8764,-82.7779,2020-01-22,0
"364","US",29.7938,-82.4944,2020-01-22,0
"365","US",30.5927,-81.8224,2020-01-22,0
"366","US",28.3232,-82.4319,2020-01-22,0
"367","US",32.7767,-96.797,2020-01-22,0
"368","US",32.7732,-97.3517,2020-01-22,0
"369","US",30.3883,-95.6963,2020-01-22,0
"370","US",40.5726,-74.4927,2020-01-22,0
"371","US",39.58,-105.2663,2020-01-22,0
"372","US",45.5146,-122.5863,2020-01-22,0
"373","US",44.9267,-123.4919,2020-01-22,0
"374","US",43.8325,-121.2617,2020-01-22,0
"375","US",42.3334,-88.2668,2020-01-22,0
"376","US",42.3689,-87.8272,2020-01-22,0
"377","US",40.4108,-75.2479,2020-01-22,0
"378","US",37.7772,-77.5161,2020-01-22,0
"379","US",34.7253,-80.6771,2020-01-22,0
"380","US",36.4933,-82.3452,2020-01-22,0
"381","US",39.4638,-86.1345,2020-01-22,0
"382","US",40.4483,-86.1345,2020-01-22,0
"383","US",41.6228,-86.3377,2020-01-22,0
"384","US",42.6712,-97.8722,2020-01-22,0
"385","US",40.8685,-81.2519,2020-01-22,0
"386","US",45.3293,-93.2197,2020-01-22,0
"387","US",43.9952,-92.3814,2020-01-22,0
"388","US",40.8298,-110.9984,2020-01-22,0
"389","US",41.256,-73.3709,2020-01-22,0
"390","US",41.7866,-73.2765,2020-01-22,0
"391","US",29.9511,-90.0715,2020-01-22,0
"392","US",43.8901,-102.2548,2020-01-22,0
"393","US",44.4797,-98.2213,2020-01-22,0
"394","US",43.0985,-98.3965,2020-01-22,0
"395","US",43.7242,-98.2213,2020-01-22,0
"396","US",43.6632,-96.8351,2020-01-22,0
"397","US",42.9815,-97.8722,2020-01-22,0
"398","US",33.8837,-106.7235,2020-01-22,0
"399","US",35.0178,-106.6291,2020-01-22,0
"400","US",42.5922,-83.3362,2020-01-22,0
"401","US",42.2791,-83.3362,2020-01-22,0
"402","US",39.5393,-75.6674,2020-01-22,0
"403","Cuba",22,-80,2020-01-22,0
"404","Guyana",5,-58.75,2020-01-22,0
"405","Australia",-35.4735,149.0124,2020-01-22,0
"406","United Kingdom",55.3781,-3.436,2020-01-22,0
"407","Kazakhstan",48.0196,66.9237,2020-01-22,0
"408","France",-17.6797,149.4068,2020-01-22,0
"409","Cayman Islands",19.3133,-81.2546,2020-01-22,0
"410","Guadeloupe",16.265,-61.551,2020-01-22,0
"411","Canada",53.7609,-98.8139,2020-01-22,0
"412","Canada",52.9399,-106.4509,2020-01-22,0
"413","Ethiopia",9.145,40.4897,2020-01-22,0
"414","Sudan",12.8628,30.2176,2020-01-22,0
"415","Guinea",9.9456,-9.6966,2020-01-22,0
"416","Aruba",12.5211,-69.9683,2020-01-22,0
"417","Canada",37.6489,-122.6655,2020-01-22,0
"418","Kenya",-0.0236,37.9062,2020-01-22,0
"419","Antigua and Barbuda",17.0608,-61.7964,2020-01-22,0
"420","US",32.3182,-86.9023,2020-01-22,0
"421","Uruguay",-32.5228,-55.7658,2020-01-22,0
"422","Ghana",7.9465,-1.0232,2020-01-22,0
"423","US",18.2208,-66.5901,2020-01-22,0
"424","Jersey",49.19,-2.11,2020-01-22,0
"425","Namibia",-22.9576,18.4904,2020-01-22,0
"426","Seychelles",-4.6796,55.492,2020-01-22,0
"427","Trinidad and Tobago",10.6918,-61.2225,2020-01-22,0
"428","Venezuela",6.4238,-66.5897,2020-01-22,0
"429","Curacao",12.1696,-68.99,2020-01-22,0
"430","Eswatini",-26.5225,31.4659,2020-01-22,0
"431","Gabon",-0.8037,11.6094,2020-01-22,0
"432","Guatemala",15.7835,-90.2308,2020-01-22,0
"433","Guernsey",49.45,-2.58,2020-01-22,0
"434","Mauritania",21.0079,10.9408,2020-01-22,0
"435","Rwanda",-1.9403,29.8739,2020-01-22,0
"436","Saint Lucia",13.9094,-60.9789,2020-01-22,0
"437","Saint Vincent and the Grenadines",12.9843,-61.2872,2020-01-22,0
"438","Suriname",3.9193,-56.0278,2020-01-22,0
"439","US",18.3358,-64.8963,2020-01-22,0
"440","occupied Palestinian territory",31.9522,35.2332,2020-01-22,0
"441","France",3.9339,-53.1258,2020-01-22,0
"442","US",13.4443,144.7937,2020-01-22,0
"443","Kosovo",42.6026,20.903,2020-01-22,0
"444","Canada",53.1355,-57.6604,2020-01-22,0
"445","Canada",46.5107,-63.4168,2020-01-22,0
"446","Central African Republic",6.6111,20.9394,2020-01-22,0
"447","Congo (Brazzaville)",-4.0383,21.7587,2020-01-22,0
"448","Equatorial Guinea",1.5,10,2020-01-22,0
"449","France",-12.8275,45.1662,2020-01-22,0
"450","Uzbekistan",41.3775,64.5853,2020-01-22,0
"451","Thailand",15,101,2020-01-23,3
"452","Japan",36,138,2020-01-23,1
"453","Singapore",1.2833,103.8333,2020-01-23,1
"454","Nepal",28.1667,84.25,2020-01-23,0
"455","Malaysia",2.5,112.5,2020-01-23,0
"456","Canada",49.2827,-123.1207,2020-01-23,0
"457","Australia",-33.8688,151.2093,2020-01-23,0
"458","Australia",-37.8136,144.9631,2020-01-23,0
"459","Australia",-28.0167,153.4,2020-01-23,0
"460","Cambodia",11.55,104.9167,2020-01-23,0
"461","Sri Lanka",7,81,2020-01-23,0
"462","Germany",51,9,2020-01-23,0
"463","Finland",64,26,2020-01-23,0
"464","United Arab Emirates",24,54,2020-01-23,0
"465","Philippines",13,122,2020-01-23,0
"466","India",21,78,2020-01-23,0
"467","Italy",43,12,2020-01-23,0
"468","Sweden",63,16,2020-01-23,0
"469","Spain",40,-4,2020-01-23,0
"470","Australia",-34.9285,138.6007,2020-01-23,0
"471","Belgium",50.8333,4,2020-01-23,0
"472","Egypt",26,30,2020-01-23,0
"473","Australia",35.4437,139.638,2020-01-23,0
"474","Lebanon",33.8547,35.8623,2020-01-23,0
"475","Iraq",33,44,2020-01-23,0
"476","Oman",21,57,2020-01-23,0
"477","Afghanistan",33,65,2020-01-23,0
"478","Bahrain",26.0275,50.55,2020-01-23,0
"479","Kuwait",29.5,47.75,2020-01-23,0
"480","Algeria",28.0339,1.6596,2020-01-23,0
"481","Croatia",45.1,15.2,2020-01-23,0
"482","Switzerland",46.8182,8.2275,2020-01-23,0
"483","Austria",47.5162,14.5501,2020-01-23,0
"484","Israel",31,35,2020-01-23,0
"485","Pakistan",30.3753,69.3451,2020-01-23,0
"486","Brazil",-14.235,-51.9253,2020-01-23,0
"487","Georgia",42.3154,43.3569,2020-01-23,0
"488","Greece",39.0742,21.8243,2020-01-23,0
"489","North Macedonia",41.6086,21.7453,2020-01-23,0
"490","Norway",60.472,8.4689,2020-01-23,0
"491","Romania",45.9432,24.9668,2020-01-23,0
"492","Estonia",58.5953,25.0136,2020-01-23,0
"493","Netherlands",52.1326,5.2913,2020-01-23,0
"494","San Marino",43.9424,12.4578,2020-01-23,0
"495","Belarus",53.7098,27.9534,2020-01-23,0
"496","Iceland",64.9631,-19.0208,2020-01-23,0
"497","Lithuania",55.1694,23.8813,2020-01-23,0
"498","Mexico",23.6345,-102.5528,2020-01-23,0
"499","New Zealand",-40.9006,174.886,2020-01-23,0
"500","Nigeria",9.082,8.6753,2020-01-23,0
"501","Australia",-31.9505,115.8605,2020-01-23,0
"502","Ireland",53.1424,-7.6921,2020-01-23,0
"503","Luxembourg",49.8153,6.1296,2020-01-23,0
"504","Monaco",43.7333,7.4167,2020-01-23,0
"505","Qatar",25.3548,51.1839,2020-01-23,0
"506","Ecuador",-1.8312,-78.1834,2020-01-23,0
"507","Azerbaijan",40.1431,47.5769,2020-01-23,0
"508","Armenia",40.0691,45.0382,2020-01-23,0
"509","Dominican Republic",18.7357,-70.1627,2020-01-23,0
"510","Indonesia",-0.7893,113.9213,2020-01-23,0
"511","Portugal",39.3999,-8.2245,2020-01-23,0
"512","Andorra",42.5063,1.5218,2020-01-23,0
"513","Australia",-41.4545,145.9707,2020-01-23,0
"514","Latvia",56.8796,24.6032,2020-01-23,0
"515","Morocco",31.7917,-7.0926,2020-01-23,0
"516","Saudi Arabia",24,45,2020-01-23,0
"517","Senegal",14.4974,-14.4524,2020-01-23,0
"518","Argentina",-38.4161,-63.6167,2020-01-23,0
"519","Chile",-35.6751,-71.543,2020-01-23,0
"520","Jordan",31.24,36.51,2020-01-23,0
"521","Ukraine",48.3794,31.1656,2020-01-23,0
"522","Hungary",47.1625,19.5033,2020-01-23,0
"523","Australia",-12.4634,130.8456,2020-01-23,0
"524","Liechtenstein",47.14,9.55,2020-01-23,0
"525","Poland",51.9194,19.1451,2020-01-23,0
"526","Tunisia",34,9,2020-01-23,0
"527","Bosnia and Herzegovina",43.9159,17.6791,2020-01-23,0
"528","Slovenia",46.1512,14.9955,2020-01-23,0
"529","South Africa",-30.5595,22.9375,2020-01-23,0
"530","Bhutan",27.5142,90.4336,2020-01-23,0
"531","Cameroon",3.848,11.5021,2020-01-23,0
"532","Colombia",4.5709,-74.2973,2020-01-23,0
"533","Costa Rica",9.7489,-83.7534,2020-01-23,0
"534","Peru",-9.19,-75.0152,2020-01-23,0
"535","Serbia",44.0165,21.0059,2020-01-23,0
"536","Slovakia",48.669,19.699,2020-01-23,0
"537","Togo",8.6195,0.8248,2020-01-23,0
"538","Malta",35.9375,14.3754,2020-01-23,0
"539","Martinique",14.6415,-61.0242,2020-01-23,0
"540","Bulgaria",42.7339,25.4858,2020-01-23,0
"541","Maldives",3.2028,73.2207,2020-01-23,0
"542","Bangladesh",23.685,90.3563,2020-01-23,0
"543","Paraguay",-23.4425,-58.4438,2020-01-23,0
"544","Canada",51.2538,-85.3232,2020-01-23,0
